date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:04	115/115	---M-Z	200	added ('OK')	text/plain	date:Thu,%2026%20Jan%202023%2008:23:05%20GMT	https://vinayaroratech.com/robots.txt		(from )
13:53:04	101841/101841	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:23:05%20GMT	https://vinayaroratech.com/	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/index.html	(from )
13:53:04	64155/64155	---M-Z	200	added ('OK')	text/css	etag:%221721f12-fa9b-5c3d9b7dcae32-gzip%22	https://vinayaroratech.com/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=3.4.8	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/themes/astra/assets/css/minified/frontend.minb045.css	(from https://vinayaroratech.com/)
13:53:04	3304/3304	---M--	200	added ('OK')	font/woff	etag:%221721f7b-ce8-5c3d9b817bf77%22	https://vinayaroratech.com/wp-content/themes/astra/assets/fonts/astra.woff	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/themes/astra/assets/fonts/astra.woff	(from https://vinayaroratech.com/)
13:53:04	218735/218735	---M-Z	200	added ('OK')	application/rss+xml	etag:%22743fb9107fd327983aa0fe237bf272a3-gzip%22	https://vinayaroratech.com/feed/	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/feed/index.html	(from https://vinayaroratech.com/)
13:53:04	3412/3412	---M-Z	200	added ('OK')	text/css	etag:%221721f38-d54-5c3d9b7def43b-gzip%22	https://vinayaroratech.com/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=3.4.8	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/themes/astra/assets/css/minified/menu-animation.minb045.css	(from https://vinayaroratech.com/)
13:53:05	58171/58171	---M-Z	200	added ('OK')	text/css	etag:%22166164b-e33b-5bf567a917900-gzip%22	https://vinayaroratech.com/wp-includes/css/dist/block-library/style.min.css?ver=5.7.8	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-includes/css/dist/block-library/style.mind988.css	(from https://vinayaroratech.com/)
13:53:05	772/772	---M-Z	200	added ('OK')	application/rss+xml	etag:%2233ffa0cfb722d708e8b8bac557a04847-gzip%22	https://vinayaroratech.com/comments/feed/	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/comments/feed/index.html	(from https://vinayaroratech.com/)
13:53:05	776/776	---M-Z	200	added ('OK')	text/css	etag:%2216413cc-308-5cb2e0ec1c75d-gzip%22	https://vinayaroratech.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.4	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor2745.css	(from https://vinayaroratech.com/)
13:53:05	17679/17679	---M-Z	200	added ('OK')	text/css	etag:%2216410b2-450f-5cb2e0df63d4a-gzip%22	https://vinayaroratech.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.12.0	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minb683.css	(from https://vinayaroratech.com/)
13:53:06	3854/3854	---M-Z	200	added ('OK')	text/css	etag:%221640c92-f0e-5cb2e0d282ead-gzip%22	https://vinayaroratech.com/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.4.3	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/plugins/elementor/assets/css/frontend-legacy.mincd45.css	(from https://vinayaroratech.com/)
13:53:06	131182/131182	---M-Z	200	added ('OK')	text/css	etag:%221640c10-2006e-5cb2e0d252553-gzip%22	https://vinayaroratech.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.4.3	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/plugins/elementor/assets/css/frontend.mincd45.css	(from https://vinayaroratech.com/)
13:53:06	200672/200672	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216410b7-30fe0-5cb2e0df6b27a%22	https://vinayaroratech.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from https://vinayaroratech.com/)
13:53:06	1216/1216	---M-Z	200	added ('OK')	text/css	etag:%221680405-4c0-5cb2e1180c265-gzip%22	https://vinayaroratech.com/wp-content/uploads/elementor/css/post-475.css?ver=1630773606	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/uploads/elementor/css/post-4756c20.css	(from https://vinayaroratech.com/)
13:53:06	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%221641068-e7d0-5cb2e0de2b53b-gzip%22	https://vinayaroratech.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.4.3	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.mincd45.css	(from https://vinayaroratech.com/)
13:53:07	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%221641075-684e-5cb2e0de47674-gzip%22	https://vinayaroratech.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.4.3	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.mincd45.css	(from https://vinayaroratech.com/)
13:53:07	9709/9709	---M-Z	200	added ('OK')	text/css	etag:%221680407-25ed-5cb2e1186e0d2-gzip%22	https://vinayaroratech.com/wp-content/uploads/elementor/css/post-706.css?ver=1630773606	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/uploads/elementor/css/post-7066c20.css	(from https://vinayaroratech.com/)
13:53:07	75680/75680	---M-Z	200	added ('OK')	text/css	etag:%221641347-127a0-5cb2e0eb9bcbf-gzip%22	https://vinayaroratech.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.4	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend2745.css	(from https://vinayaroratech.com/)
13:53:08	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%22164106a-e238-5cb2e0de34d94-gzip%22	https://vinayaroratech.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://vinayaroratech.com/)
13:53:08	669/669	---M-Z	200	added ('OK')	text/css	etag:%22164106e-29d-5cb2e0de3ca94-gzip%22	https://vinayaroratech.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://vinayaroratech.com/)
13:53:08	15055/15055	---M-Z	200	added ('OK')	application/javascript	etag:%221641092-3acf-5cb2e0de6fafe-gzip%22	https://vinayaroratech.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.4.3	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.mincd45.js	(from https://vinayaroratech.com/)
13:53:08	20683/20683	---MC-	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2008:23:10%20GMT	https://vinayaroratech.com/wp-json/wp/v2/pages/706	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-json/wp/v2/pages/706.json	(from https://vinayaroratech.com/)
13:53:09	110694/110694	---MC-	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2008:23:10%20GMT	https://vinayaroratech.com/wp-json/	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-json/index.html	(from https://vinayaroratech.com/)
13:53:09	822/822	---M-Z	200	added ('OK')	text/xml	date:Thu,%2026%20Jan%202023%2008:23:10%20GMT	https://vinayaroratech.com/xmlrpc.php?rsd	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/xmlrpc0db0.php	(from https://vinayaroratech.com/)
13:53:09	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%2216618e5-415-4ed4785da9bc0-gzip%22	https://vinayaroratech.com/wp-includes/wlwmanifest.xml	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-includes/wlwmanifest.xml	(from https://vinayaroratech.com/)
13:53:09	2215/2215	---MC-	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2008:23:10%20GMT	https://vinayaroratech.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvinayaroratech.com%2F	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-json/oembed/1.0/embed28a1.json	(from https://vinayaroratech.com/)
13:53:09	2309/2309	---M-Z	200	added ('OK')	text/xml	date:Thu,%2026%20Jan%202023%2008:23:11%20GMT	https://vinayaroratech.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvinayaroratech.com%2F&format=xml	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-json/oembed/1.0/embed8c68	(from https://vinayaroratech.com/)
13:53:10	466/466	---M--	200	added ('OK')	image/png	etag:%221680e21-1d2-5c3ca776206f7%22	https://vinayaroratech.com/wp-content/uploads/2020/05/cropped-android-chrome-512x5121-1-3-32x32.png	D:/Projects/Personal/vinayaroratech/vinayaroratech/vinayaroratech.com/wp-content/uploads/2020/05/cropped-android-chrome-512x5121-1-3-32x32.png	(from https://vinayaroratech.com/)
